Id,Creation Time,T5_query_rewriter,data_usage_type,ndcg3_sum,bleu_sum,rouge_sum,run_type,bleu_1,bleu_2,bleu_3,bleu_4,bleu_5,bleu_6,bleu_7,bleu_8,bleu_9,bleu_10,bleu_11,bleu_12,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_11,ndcg_12,rouge_1,rouge_2,rouge_3,rouge_4,rouge_5,rouge_6,rouge_7,rouge_8,rouge_9,rouge_10,rouge_11,rouge_12
QUER1-137,2022-12-21 09:06:16,personal,all_rewritten_queries_one_similar_sentence,0.25493186924828487,48.83,76.27,automatic,89.59,44.04,43.19,40.11,45.55,48.90,44.24,40.22,40.87,47.74,32.14,66.90,0.3747944436331389,0.20483053583923017,0.3397677512849057,0.18110773279989853,0.2598913163861814,0.2869344573508169,0.2405389598055793,0.1856146693193774,0.14885118559840632,0.25619303482183237,0.5,0.0,97.99,78.45,74.77,72.94,75.18,72.51,75.34,65.63,65.23,80.34,84.56,95.10
QUER1-132,2022-12-21 02:14:39,base,all_raw_queries_all_cosine_similar_sentences,0.26484617512788694,53.45,80.12,canonical,89.59,50.90,45.45,46.62,46.35,55.46,48.11,52.78,41.51,50.99,34.33,66.90,0.3747944436331389,0.25088440284842967,0.33401842197259074,0.2185685392057941,0.20269881725159813,0.2754748717962265,0.24965282292794977,0.18216553576461542,0.3771584618111773,0.26570261610860085,0.0,0.0,97.99,79.62,74.50,82.72,76.96,78.09,77.23,80.02,66.56,80.52,76.11,95.10
QUER1-131,2022-12-21 00:52:03,base,all_raw_queries_all_cosine_similar_sentences,0.2639315329899783,51.86,78.64,automatic,89.59,46.76,41.26,47.06,46.17,51.48,48.97,52.42,36.56,39.46,26.84,66.90,0.3747944436331389,0.2603784214469419,0.3306062384740347,0.22126825380456436,0.2481043775170781,0.2245832509869421,0.24675871189239618,0.24906303924446568,0.21361326898352004,0.22452968117756633,0.31546487678572865,0.0,97.99,78.42,74.65,79.09,75.94,76.97,75.92,79.40,63.33,74.34,69.83,95.10
QUER1-130,2022-12-20 23:29:30,personal,all_raw_queries_all_cosine_similar_sentences,0.23757376205508174,49.34,77.44,canonical,89.59,43.15,42.76,38.58,45.98,48.03,44.03,50.52,44.36,48.23,38.17,66.90,0.3747944436331389,0.20165623448025194,0.32297093177799674,0.16053167607616164,0.1740502560300501,0.2691117667903697,0.21792450079695916,0.18416043196004617,0.28013162168437117,0.27583602418444997,0.0,0.0,97.99,79.70,75.09,73.96,77.13,72.76,71.41,71.22,70.17,85.08,84.30,95.10
QUER1-129,2022-12-20 22:07:42,personal,all_raw_queries_all_cosine_similar_sentences,0.2217020706326478,48.27,76.34,automatic,89.59,42.65,43.00,37.42,46.52,47.34,44.71,44.00,39.85,45.78,37.80,66.90,0.3747944436331389,0.20201933394630353,0.3388745612327838,0.1402818679858863,0.14949117458511066,0.21542954202230685,0.21125659301197533,0.18487084433592588,0.18813388607190631,0.22445308385280724,0.0,0.0,97.99,78.30,75.04,71.85,77.89,70.94,73.89,70.03,62.54,75.53,81.86,95.10
QUER1-128,2022-12-20 20:46:00,base,all_raw_queries_one_cosine_sentence,0.2738239464977036,53.74,80.27,canonical,89.59,50.90,46.81,47.52,47.27,56.34,47.37,52.87,46.46,47.27,32.14,66.90,0.3747944436331389,0.25088440284842967,0.3162597350157843,0.22352717704783323,0.2595277259403501,0.2836481851162651,0.24330903626888642,0.20297929541338613,0.32039729921036525,0.3201660569679232,0.5,0.0,97.99,79.62,75.85,80.78,75.52,79.71,75.21,80.35,68.32,85.17,84.56,95.10
QUER1-127,2022-12-20 19:23:43,base,all_raw_queries_one_cosine_sentence,0.27553464959798074,52.46,79.37,automatic,89.59,46.76,41.00,48.79,47.53,57.15,46.88,50.69,39.53,41.20,32.14,66.90,0.3747944436331389,0.2603784214469419,0.32173635067267997,0.2306795155091595,0.27296828546950636,0.29043598237805374,0.24140382377835187,0.248316012436871,0.16887530929425149,0.29921036636545617,0.5,0.0,97.99,78.42,74.45,79.74,76.08,79.00,74.93,78.37,65.87,80.88,84.56,95.10
QUER1-126,2022-12-20 18:01:30,personal,all_raw_queries_one_cosine_sentence,0.24418812021530106,50.27,78.41,canonical,89.59,43.15,46.43,40.35,45.42,51.87,45.42,49.61,42.18,48.35,38.42,66.90,0.3747944436331389,0.20165623448025194,0.3245608351962521,0.19566638335751207,0.1615741085093816,0.3223178472907435,0.23357703825612086,0.15925386201461045,0.26023462125076924,0.2531012599745015,0.0,0.0,97.99,79.70,77.08,76.72,76.82,74.70,75.18,71.08,67.93,86.70,80.53,95.10
QUER1-125,2022-12-20 16:40:15,personal,all_raw_queries_one_cosine_sentence,0.2345576222570246,49.31,77.27,automatic,89.59,42.65,45.51,40.50,46.09,49.69,45.88,43.77,38.41,48.45,38.42,66.90,0.3747944436331389,0.20201933394630353,0.3509254691109509,0.1592145369374468,0.20007178114112673,0.24433969211001205,0.23134706017690387,0.16869557530432946,0.1590486705364778,0.25436602987285584,0.0,0.0,97.99,78.30,76.19,73.67,76.48,72.91,75.06,70.47,64.31,85.43,80.53,95.10
QUER1-124,2022-12-20 12:46:31,base,all_raw_queries_all_similar_sentences,0.26787694952578683,53.10,79.70,canonical,89.59,51.62,42.13,45.25,51.36,55.26,46.42,54.36,41.45,39.62,36.84,66.90,0.3747944436331389,0.27313481211883583,0.274879951350403,0.19881726096442118,0.2766398688120642,0.29237487091422926,0.2401445898562692,0.22799559395100547,0.21700028421599912,0.2025563798394495,0.5,0.0,97.99,81.09,74.03,79.83,78.63,79.14,74.23,79.06,65.01,75.64,88.71,95.10
QUER1-123,2022-12-20 11:21:24,base,all_raw_queries_all_similar_sentences,0.26540058913094683,52.41,79.02,automatic,89.59,49.74,41.33,48.16,47.42,49.46,47.12,48.91,38.12,40.41,32.32,66.90,0.3747944436331389,0.28232528594174305,0.3183034382098575,0.21143180921341465,0.2222313009375165,0.26004037097340077,0.24456279843813555,0.23453170821689548,0.3233975660913251,0.22253010422625566,0.0,0.0,97.99,80.14,74.53,79.73,77.85,75.48,75.33,77.59,65.33,80.15,64.23,95.10
QUER1-122,2022-12-20 09:58:34,personal,all_raw_queries_all_similar_sentences,0.23116478643285523,49.40,77.25,canonical,89.59,44.45,42.01,39.95,47.06,46.84,42.67,50.54,44.70,47.76,38.42,66.90,0.3747944436331389,0.19564006201632295,0.30898026419455393,0.1539186145284594,0.17779912916042032,0.26873617991540044,0.19792661079644958,0.18731886931657968,0.28076647243999914,0.20932633746830254,0.0,0.0,97.99,79.76,75.06,75.35,77.58,71.09,72.37,71.88,65.77,79.32,80.53,95.10
QUER1-121,2022-12-20 08:36:39,personal,all_raw_queries_all_similar_sentences,0.22700053173262344,49.07,76.92,automatic,89.59,44.04,43.09,40.03,44.98,53.47,42.11,43.29,40.82,47.32,38.17,66.90,0.3747944436331389,0.20483053583923017,0.3354416487699614,0.1479026169608303,0.16714041521999456,0.2765963682097724,0.21684793415640555,0.1402616381140007,0.15394567097007972,0.25581682841015746,0.0,0.0,97.99,78.45,75.09,73.55,75.08,76.26,72.89,68.45,67.27,79.19,84.30,95.10
QUER1-120,2022-12-20 07:14:54,base,all_raw_queries_one_similar_sentence,0.275493777461855,53.43,80.36,canonical,89.59,51.62,44.24,46.73,51.11,55.32,46.99,52.66,40.80,41.50,32.14,66.90,0.3747944436331389,0.27313481211883583,0.32173635067267997,0.2176500914541806,0.2715689257669094,0.2640477208863629,0.24363380185756886,0.21191391506033266,0.32656831357786736,0.27639113446172425,0.5,0.0,97.99,81.09,75.53,80.70,78.78,79.11,74.94,79.60,65.53,81.11,84.56,95.10
QUER1-119,2022-12-20 05:52:21,base,all_raw_queries_one_similar_sentence,0.2741947550420051,52.62,79.63,automatic,89.59,49.74,41.38,48.08,47.79,56.32,46.94,49.54,38.91,41.30,32.14,66.90,0.3747944436331389,0.28232528594174305,0.3183034382098575,0.2116293196835371,0.23214632101177926,0.26797172991225976,0.24390083363544215,0.23864573727535446,0.3018652850849991,0.32072075851780096,0.5,0.0,97.99,80.14,74.23,80.81,76.84,78.83,75.10,77.57,65.33,80.31,84.56,95.10
QUER1-118,2022-12-20 04:29:58,personal,all_raw_queries_one_similar_sentence,0.24504341097923812,50.97,78.46,canonical,89.59,44.45,44.84,42.32,46.53,51.90,46.52,51.53,42.03,48.01,38.42,66.90,0.3747944436331389,0.19564006201632295,0.32103117207272097,0.17696944337963363,0.2118124295017742,0.2948846621322603,0.24746592714500978,0.18793248717694944,0.22214164589362353,0.20932633746830254,0.0,0.0,97.99,79.76,76.62,77.52,76.99,74.43,75.58,73.50,65.51,80.81,80.53,95.10
QUER1-117,2022-12-20 03:08:29,personal,all_raw_queries_one_similar_sentence,0.24762472313336195,50.00,77.58,automatic,89.59,44.04,43.41,42.67,46.03,53.62,45.45,43.74,38.41,48.45,38.42,66.90,0.3747944436331389,0.20483053583923017,0.3363348388220833,0.1911791442808832,0.2360277068363298,0.31475738958384925,0.2259833014239391,0.159025300142813,0.1590486705364778,0.25436602987285584,0.0,0.0,97.99,78.45,74.96,76.70,75.91,74.79,75.00,69.95,64.31,85.43,80.53,95.10
